en,es,vi,de,ar,ja,hi
acts of kindness and compassion,actos de bondad y compasión,những hành động tử tế và lòng thương xót,Akte der Freundlichkeit und des Mitgefühls,أعمال اللطف والرحمة,親切と思いやりの行為,दया और करुणा के कार्य
acupuncture,acupuntura,châm cứu,Akupunktur,الوخز بالإبر,鍼,एक्यूपंक्चर
add,agregar,thêm vào,hinzufügen,يضيف,追加,जोड़ना
addiction,adicción,nghiện,Sucht,مدمن,中毒,लत
addiction withdrawal,Abstinencia de adicción,cai nghiện,Entzugserscheinungen,أعراض انسحاب الإدمان,依存症からの離脱,व्यसन से मुक्ति
addison's disease,enfermedad de Addison,bệnh Addison,Addison-Krankheit,مرض أديسون,アジソン病,एडिसन रोग
adeno-tonsillectomy,adenoidectomía y amigdalectomía,cắt amidan và nạo VA,Adenotonsillektomie,استئصال اللوزتين واللحمية,アデノ扁桃摘出術,एडिनो-टॉन्सिल्लेक्टोमी
adenoidectomy,adenoidectomía,cắt bỏ amidan,Adenoidektomie,استئصال اللحمية,アデノイド切除術,एडेनोइडेक्टोमी
adenoids,adenoides,amidan,Polypen,اللحمية,アデノイド,adenoids
adenomyosis,adenomiosis,bệnh lạc nội mạc tử cung,Adenomyose,داء البطانة الرحمية,子宮腺筋症,ग्रंथिपेश्यर्बुदता
adenoviruses,adenovirus,adenovirus,Adenoviren,الفيروسات الغدية,アデノウイルス,एडिनोवायरस
adhd,TDAH,ADHD,ADHS,اضطراب فرط الحركة ونقص الانتباه,ADHD,एडीएचडी
adhd medicines,medicamentos para el TDAH,thuốc điều trị ADHD,ADHS-Medikamente,أدوية اضطراب فرط الحركة ونقص الانتباه,ADHD治療薬,एडीएचडी की दवाइयाँ
adrenal fatigue,fatiga suprarrenal,mệt mỏi tuyến thượng thận,Nebennierenschwäche,إرهاق الغدة الكظرية,副腎疲労,अधिवृक्क थकान
adrenal glands,glándulas suprarrenales,tuyến thượng thận,Nebennieren,الغدد الكظرية,副腎,अधिवृक्क ग्रंथियां
adrenaline,adrenalina,adrenaline,Adrenalin,الأدرينالين,アドレナリン,एड्रेनालाईन
adrenaline autoinjector,autoinyector de adrenalina,ống tiêm tự động adrenaline,Adrenalin-Autoinjektor,حاقن الأدرينالين التلقائي,アドレナリン自己注射器,एड्रेनालाईन ऑटोइंजेक्टर
advance care planning,planificación anticipada de la atención médica,lập kế hoạch chăm sóc trước,Vorausplanung der medizinischen Versorgung,التخطيط المسبق للرعاية,事前医療計画,अग्रिम देखभाल योजना
adverse effects from medicines,efectos adversos de los medicamentos,tác dụng phụ của thuốc,Nebenwirkungen von Medikamenten,الآثار الجانبية للأدوية,医薬品の副作用,दवाओं से होने वाले प्रतिकूल प्रभाव
after-hours health services,servicios de salud fuera del horario habitual,dịch vụ y tế ngoài giờ,Gesundheitsdienste außerhalb der regulären Öffnungszeiten,خدمات الرعاية الصحية خارج ساعات العمل,時間外医療サービス,कार्य समय के बाद की स्वास्थ्य सेवाएं
age-related macular degeneration,degeneración macular relacionada con la edad,thoái hóa điểm vàng liên quan đến tuổi tác,altersbedingte Makuladegeneration,التنكس البقعي المرتبط بالعمر,加齢黄斑変性,उम्र से संबंधित मैकुलर डिजनरेशन
aged care services,servicios de atención a personas mayores,dịch vụ chăm sóc người cao tuổi,Altenpflegedienste,خدمات رعاية المسنين,高齢者介護サービス,वृद्धावस्था देखभाल सेवाएं
aggression in teenagers,agresión en adolescentes,sự hung hăng ở thanh thiếu niên,Aggression bei Teenagern,العدوانية لدى المراهقين,十代の若者の攻撃性,किशोरों में आक्रामकता
agnosia,agnosia,chứng mất nhận thức,Agnosie,عجز التعرف على الأشياء,失認,संवेदनलोप
agoraphobia,agorafobia,chứng sợ khoảng trống,Agoraphobie,رهاب الأماكن المفتوحة,広場恐怖症,भीड़ से डर लगना
aicd,aicd,aicd,AICD,أيد,aicd,एआईसीडी
aids and hiv infection,sida e infección por VIH,bệnh AIDS và nhiễm HIV,AIDS- und HIV-Infektion,الإيدز وعدوى فيروس نقص المناعة البشرية,エイズとHIV感染,एड्स और एचआईवी संक्रमण
albinism,albinismo,bệnh bạch tạng,Albinismus,المهق,アルビニズム,रंगहीनता
alcohol,alcohol,rượu bia,Alkohol,الكحول,アルコール,शराब
alcohol dependence,dependencia del alcohol,nghiện rượu,Alkoholabhängigkeit,إدمان الكحول,アルコール依存症,अल्कोहल निर्भरता
alcoholism,alcoholismo,nghiện rượu,Alkoholismus,إدمان الكحول,アルコール依存症,शराब
allergen immunotherapy,inmunoterapia con alérgenos,liệu pháp miễn dịch dị ứng,Allergen-Immuntherapie,العلاج المناعي للحساسية,アレルゲン免疫療法,एलर्जेन इम्यूनोथेरेपी
allergic reactions to cow's milk,reacciones alérgicas a la leche de vaca,phản ứng dị ứng với sữa bò,allergische Reaktionen auf Kuhmilch,ردود الفعل التحسسية تجاه حليب البقر,牛乳に対するアレルギー反応,गाय के दूध से एलर्जी की प्रतिक्रिया
allergic rhinitis,rinitis alérgica,viêm mũi dị ứng,allergische Rhinitis,التهاب الأنف التحسسي,アレルギー性鼻炎,एलर्जिक राइनाइटिस
hay fever,fiebre del heno,dị ứng thời tiết,Heuschnupfen,حمى القش,花粉症,हे फीवर
allergies,alergias,dị ứng,Allergien,الحساسية,アレルギー,एलर्जी
allergies and hypersensitivities,alergias e hipersensibilidades,dị ứng và quá mẫn,Allergien und Überempfindlichkeiten,الحساسية المفرطة,アレルギーおよび過敏症,एलर्जी और अतिसंवेदनशीलता
allergies to seafood,alergias a los mariscos,dị ứng với hải sản,Allergien gegen Meeresfrüchte,الحساسية تجاه المأكولات البحرية,魚介類アレルギー,समुद्री भोजन से एलर्जी
allergy,alergia,dị ứng,Allergie,حساسية,アレルギー,एलर्जी
allergy testing,pruebas de alergia,xét nghiệm dị ứng,Allergietest,اختبار الحساسية,アレルギー検査,एलर्जी परीक्षण
allied health,salud afín,y tế liên kết,verwandte Gesundheitsberufe,المهن الصحية المساعدة,医療関連職,संबन्धित स्वस्थ्य
alopecia,alopecia,rụng tóc,Alopezie,ثعلبة,脱毛症,खालित्य
hair loss,caída del cabello,hói đầu,Haarausfall,تساقط الشعر,抜け毛,बालों का झड़ना
baldness,calvicie,rụng tóc,Glatzenbildung,صلع,ハゲ,गंजापन
alpha-1 antitrypsin deficiency,deficiencia de alfa-1 antitripsina,thiếu hụt alpha-1 antitrypsin,Alpha-1-Antitrypsinmangel,نقص ألفا-1 أنتيتريبسين,α1アンチトリプシン欠乏症,अल्फा-1 एंटीट्रिप्सिन की कमी
altitude sickness,mal de altura,bệnh độ cao,Höhenkrankheit,داء المرتفعات,高山病,ऊंचाई से बीमारी
alzheimer's disease,enfermedad de Alzheimer,bệnh Alzheimer,Alzheimer-Krankheit,مرض الزهايمر,アルツハイマー病,अल्जाइमर रोग
ambulances,ambulancias,xe cứu thương,Krankenwagen,سيارات الإسعاف,救急車,एंबुलेंस
amenorrhoea,amenorrea,vô kinh,Amenorrhoe,انقطاع الطمث,無月経,अमेनोरिया
amnesia,amnesia,mất trí nhớ,Amnesie,فقدان الذاكرة,健忘症,भूलने की बीमारी
amphetamines,anfetaminas,amphetamines,Amphetamine,الأمفيتامينات,アンフェタミン,amphetamines
amputation,amputación,cắt cụt,Amputation,بتر,切断,विच्छेदन
amyloidosis,amilosis,bệnh amyloidosis,Amyloidose,داء النشواني,アミロイドーシス,एमिलॉयडोसिस
amyotrophic lateral sclerosis,esclerosis lateral amiotrófica,bệnh xơ cứng teo cơ một bên,amyotrophe Lateralsklerose,التصلب الجانبي الضموري,筋萎縮性側索硬化症,पेशीशोषी पार्श्व काठिन्य
anabolic steroids,esteroides anabólicos,steroid đồng hóa,Anabole Steroide,الستيرويدات الابتنائية,アナボリックステロイド,एनाबॉलिक स्टेरॉयड
anaemia,anemia,thiếu máu,Anämie,فقر الدم,貧血,खून की कमी
anaemia medicine,medicamentos para la anemia,thuốc trị thiếu máu,Anämie-Medikament,دواء لعلاج فقر الدم,貧血薬,एनीमिया की दवा
anaesthetics,anestésicos,thuốc gây mê,Anästhetika,التخدير,麻酔薬,बेहोशी की दवा
anal cancer,cáncer anal,ung thư hậu môn,Analkrebs,سرطان الشرج,肛門がん,गुदा कैंसर
anal care,cuidado anal,chăm sóc hậu môn,Analpflege,العناية الشرجية,肛門ケア,गुदा देखभाल
anal fissure,fisura anal,nứt hậu môn,Analfissur,الشق الشرجي,肛門裂傷,गुदा विदर
anal injury,lesión anal,chấn thương hậu môn,Analverletzung,إصابة شرجية,肛門損傷,गुदा में चोट
anal pain,dolor anal,đau hậu môn,Analschmerzen,ألم شرجي,肛門の痛み,गुदा में दर्द होना
anaphylaxis,anafilaxia,sốc phản vệ,Anaphylaxie,الحساسية المفرطة,アナフィラキシー,तीव्रग्राहिता
anatomy,anatomía,giải phẫu học,Anatomie,تشريح,解剖学,शरीर रचना
anemia,anemia,thiếu máu,Anämie,فقر الدم,貧血,रक्ताल्पता
aneurysms,aneurismas,phình động mạch,Aneurysmen,تمدد الأوعية الدموية,動脈瘤,विस्फार
angelman syndrome,síndrome de Angelman,hội chứng Angelman,Angelman-Syndrom,متلازمة أنجلمان,アンジェルマン症候群,एंजेलमैन सिंड्रोम
anger management,control de la ira,kiểm soát cơn giận,Wutbewältigung,إدارة الغضب,怒りのコントロール,क्रोध प्रबंधन
angina,angina de pecho,đau thắt ngực,Angina,ذبحة,狭心症,एनजाइना
angiogram,angiografía,chụp mạch máu,Angiogramm,تصوير الأوعية الدموية,血管造影,एंजियोग्राम
angioplasty,angioplastia,nong mạch,Angioplastie,رأب الأوعية الدموية,血管形成術,एंजियोप्लास्टी
angiotensin converting enzyme inhibitors,inhibidores de la enzima convertidora de angiotensina,thuốc ức chế men chuyển angiotensin,Angiotensin-Converting-Enzym-Hemmer,مثبطات الإنزيم المحول للأنجيوتنسين,アンジオテンシン変換酵素阻害薬,एंजियोटेंसिन परिवर्तित एंजाइम अवरोधक
angiotensin receptor blockers,bloqueadores de los receptores de angiotensina,thuốc chẹn thụ thể angiotensin,Angiotensin-Rezeptorblocker,حاصرات مستقبلات الأنجيوتنسين,アンジオテンシン受容体拮抗薬,एंजियोटेंसिन रिसेप्टर ब्लॉकर्स
animal bites,mordeduras de animales,vết cắn của động vật,Tierbisse,عضات الحيوانات,動物の咬傷,जानवरों के काटने
ankle arthrodesis,artrodesis de tobillo,phẫu thuật cố định khớp mắt cá chân,Sprunggelenksarthrodese,تثبيت مفصل الكاحل,足関節固定術,टखने के आर्थ्रोडेसिस
ankle fracture surgery,cirugía de fractura de tobillo,phẫu thuật gãy xương mắt cá chân,Knöchelfraktur-Operation,جراحة كسر الكاحل,足首骨折手術,टखने के फ्रैक्चर की सर्जरी
ankle pain,dolor de tobillo,đau mắt cá chân,Knöchelschmerzen,ألم في الكاحل,足首の痛み,टखने में दर्द
ankle sprain,esguince de tobillo,bong gân mắt cá chân,Knöchelverstauchung,التواء الكاحل,足首の捻挫,टखने की मोच
ankylosing spondylitis,espondiloartritis anquilosante,viêm cột sống dính khớp,Spondylitis ankylosans,التهاب الفقرات التصلبي,強直性脊椎炎,रीढ़ के जोड़ों में गतिविधि-रोधक सूजन
anorexia nervosa,anorexia nerviosa,chứng chán ăn tâm thần,Anorexia nervosa,فقدان الشهية العصبي,神経性食欲不振症,एनोरेक्सिया नर्वोसा
anosmia,anosmia,mất khứu giác,Anosmie,فقدان حاسة الشم,嗅覚脱失,घ्राणशक्ति का नाश
ant stings,picaduras de hormigas,vết đốt của kiến,Ameisenstiche,لسعات النمل,アリの毒針,चींटी के डंक
ant stings and bites,Picaduras y mordeduras de hormigas,vết đốt và cắn của kiến,Ameisenstiche und -bisse,لسعات ولدغات النمل,アリの刺し傷と噛み傷,चींटियों के डंक और काटने
antenatal tests,pruebas prenatales,xét nghiệm trước sinh,pränatale Tests,فحوصات ما قبل الولادة,出生前検査,प्रसवपूर्व परीक्षण
anterior repair,reparación anterior,sửa chữa phía trước,vordere Reparatur,إصلاح أمامي,前方修復,अग्रवर्ती मरम्मत
anthrax,ántrax,bệnh than,Milzbrand,الجمرة الخبيثة,炭疽菌,बिसहरिया
anti-inflammatory medicines,medicamentos antiinflamatorios,thuốc chống viêm,entzündungshemmende Medikamente,الأدوية المضادة للالتهابات,抗炎症薬,सूजनरोधी दवाएँ
antibiotics,antibióticos,thuốc kháng sinh,Antibiotika,المضادات الحيوية,抗生物質,एंटीबायोटिक दवाओं
anticipatory grief,duelo anticipatorio,nỗi đau buồn dự đoán,vorweggenommene Trauer,الحزن الاستباقي,予期悲嘆,प्रत्याशित शोक
antidepressants,antidepresivos,thuốc chống trầm cảm,Antidepressiva,مضادات الاكتئاب,抗うつ剤,एंटीडिप्रेसन्ट
antifungal medicines,medicamentos antimicóticos,thuốc chống nấm,Antimykotika,الأدوية المضادة للفطريات,抗真菌薬,एंटीफंगल दवाएं
antihistamines,antihistamínicos,thuốc kháng histamine,Antihistaminika,مضادات الهيستامين,抗ヒスタミン剤,एंटिहिस्टामाइन्स
antioxidants,antioxidantes,chất chống oxy hóa,Antioxidantien,مضادات الأكسدة,抗酸化物質,एंटीऑक्सीडेंट
antiphospholipid syndrome,síndrome antifosfolípido,hội chứng kháng phospholipid,Antiphospholipid-Syndrom,متلازمة الأجسام المضادة للفوسفوليبيد,抗リン脂質症候群,एंटीफॉस्फोलिपिड सिंड्रोम
antipsychotic medicines,medicamentos antipsicóticos,thuốc chống loạn thần,Antipsychotika,الأدوية المضادة للذهان,抗精神病薬,मनोविरोधक दवाएँ
antisocial personality disorder,trastorno de personalidad antisocial,rối loạn nhân cách chống đối xã hội,antisoziale Persönlichkeitsstörung,اضطراب الشخصية المعادية للمجتمع,反社会性パーソナリティ障害,असामाजिक व्यक्तित्व विकार
antivirals for flu and covid-19,Antivirales para la gripe y la COVID-19,thuốc kháng virus cho bệnh cúm và COVID-19,Virostatika gegen Grippe und Covid-19,مضادات الفيروسات لعلاج الإنفلونزا وكوفيد-19,インフルエンザとCOVID-19に対する抗ウイルス薬,फ्लू और कोविड-19 के लिए एंटीवायरल दवाएं
anxiety,ansiedad,sự lo lắng,Angst,قلق,不安,चिंता
anxiety conditions,trastornos de ansiedad,tình trạng lo âu,Angstzustände,حالات القلق,不安障害,चिंता की स्थितियाँ
anxiety in children,ansiedad en los niños,lo lắng ở trẻ em,Angstzustände bei Kindern,القلق عند الأطفال,子供の不安,बच्चों में चिंता
anxiety in teenagers,ansiedad en adolescentes,lo lắng ở thanh thiếu niên,Angstzustände bei Teenagern,القلق لدى المراهقين,十代の不安,किशोरों में चिंता
anxiety medication,medicamentos para la ansiedad,thuốc chống lo âu,Medikamente gegen Angstzustände,أدوية القلق,不安薬,चिंता की दवा
aortic coarctation,coartación aórtica,hẹp động mạch chủ,Aortenisthmusstenose,تضيق الأبهر,大動脈縮窄症,महाधमनी संकुचन
aortic dissection,disección aórtica,bóc tách động mạch chủ,Aortendissektion,تسلخ الأبهر,大動脈解離,महाधमनी विच्छेदन
aortic stenosis,estenosis aórtica,hẹp động mạch chủ,Aortenstenose,تضيق الأبهر,大動脈弁狭窄症,महाधमनी स्टेनोसिस
aortic valve replacement,reemplazo de la válvula aórtica,thay van động mạch chủ,Aortenklappenersatz,استبدال الصمام الأبهري,大動脈弁置換術,महाधमनी वाल्व प्रतिस्थापन
apert syndrome,síndrome de Apert,hội chứng apert,apert-Syndrom,متلازمة آبرت,アペール症候群,एपर्ट सिंड्रोम
aphasia,afasia,chứng mất ngôn ngữ,Aphasie,حبسة,失語症,बोली बंद होना
apnoea,apnea,ngưng thở,Apnoe,انقطاع النفس,無呼吸,एपनिया
appendectomy,apendectomía,phẫu thuật cắt ruột thừa,Blinddarmoperation,استئصال الزائدة الدودية,虫垂切除術,एपेंडेक्टोमी
appendicitis,apendicitis,viêm ruột thừa,Appendizitis,التهاب الزائدة الدودية,虫垂炎,पथरी
apraxia of speech,apraxia del habla,chứng khó nói,Sprechapraxie,خلل في النطق,発話失行,वाक् अप्रेक्सिया
arrhythmia,arritmia,rối loạn nhịp tim,Arrhythmie,عدم انتظام ضربات القلب,不整脈,अतालता
arsenic,arsénico,asen,Arsen,الزرنيخ,砒素,हरताल
arthritis,artritis,viêm khớp,Arthritis,التهاب المفاصل,関節炎,वात रोग
arthritis in children,artritis en niños,viêm khớp ở trẻ em,Arthritis bei Kindern,التهاب المفاصل عند الأطفال,小児の関節炎,बच्चों में गठिया
arthroscopic release of frozen shoulder,Liberación artroscópica de hombro congelado,Phẫu thuật nội soi giải phóng hội chứng vai đông cứng,Arthroskopische Lösung einer Schultersteife,تحرير الكتف المتجمد بالمنظار,関節鏡下による五十肩の解放,फ्रोजन शोल्डर का आर्थ्रोस्कोपिक रिलीज
arthroscopy,artroscopia,nội soi khớp,Arthroskopie,تنظير المفصل,関節鏡検査,आर्थ्रोस्कोपी
arthroscopy of the ankle,artroscopia del tobillo,nội soi khớp mắt cá chân,Arthroskopie des Sprunggelenks,تنظير مفصل الكاحل,足首の関節鏡検査,टखने की आर्थ्रोस्कोपी
arthroscopy of the elbow,artroscopia del codo,nội soi khớp khuỷu tay,Arthroskopie des Ellbogens,تنظير مفصل الكوع,肘関節鏡検査,कोहनी की आर्थ्रोस्कोपी
arthroscopy of the knee,artroscopia de rodilla,nội soi khớp gối,Kniegelenksarthroskopie,تنظير مفصل الركبة,膝関節鏡検査,घुटने की आर्थ्रोस्कोपी
arthroscopy of the shoulder,artroscopia del hombro,nội soi khớp vai,Arthroskopie der Schulter,تنظير مفصل الكتف,肩関節鏡検査,कंधे की आर्थ्रोस्कोपी
arthroscopy of the wrist,artroscopia de la muñeca,nội soi khớp cổ tay,Arthroskopie des Handgelenks,تنظير مفصل الرسغ,手首の関節鏡検査,कलाई की आर्थ्रोस्कोपी
asbestosis,asbestosis,bệnh bụi amiăng,Asbestose,داء الأسبستوس,アスベスト症,एस्बेस्टोसिस
assistance dog,perro de asistencia,chó hỗ trợ,Assistenzhund,كلب المساعدة,介助犬,सहायता कुत्ता
assisted vaginal delivery,parto vaginal asistido,sinh thường có hỗ trợ,assistierte vaginale Entbindung,الولادة المهبلية بمساعدة طبية,補助付き経腟分娩,सहायता प्राप्त योनि प्रसव
asthma,asma,hen suyễn,Asthma,الربو,喘息,अस्थमा
asthma and pregnancy,asma y embarazo,hen suyễn và mang thai,Asthma und Schwangerschaft,الربو والحمل,喘息と妊娠,अस्थमा और गर्भावस्था
asthma attack management,manejo de los ataques de asma,quản lý cơn hen suyễn,Asthmaanfall-Management,إدارة نوبات الربو,喘息発作の管理,अस्थमा के दौरे का प्रबंधन
asthma in children,asma en niños,bệnh hen suyễn ở trẻ em,Asthma bei Kindern,الربو عند الأطفال,小児喘息,बच्चों में अस्थमा
asthma in children under 6,asma en niños menores de 6 años,bệnh hen suyễn ở trẻ em dưới 6 tuổi,Asthma bei Kindern unter 6 Jahren,الربو عند الأطفال دون سن السادسة,6歳未満の小児における喘息,6 वर्ष से कम उम्र के बच्चों में अस्थमा
asthma medication,medicamentos para el asma,thuốc hen suyễn,Asthmamedikamente,أدوية الربو,喘息の薬,अस्थमा की दवा
astigmatism,astigmatismo,loạn thị,Astigmatismus,الاستجماتيزم,乱視,दृष्टिवैषम्य
atherosclerosis,aterosclerosis,xơ vữa động mạch,Atherosklerose,تصلب الشرايين,動脈硬化,atherosclerosis
athletes foot,pie de atleta,bệnh nấm da chân,Fußpilz,قدم الرياضي,水虫,एथलीट फुट
atrial fibrillation,fibrilación auricular,rung tâm nhĩ,Vorhofflimmern,رجفان أذيني,心房細動,दिल की अनियमित धड़कन
attention deficit disorder,trastorno por déficit de atención,rối loạn thiếu tập trung,Aufmerksamkeitsdefizitstörung,اضطراب نقص الانتباه,注意欠陥障害,ध्यान आभाव विकार
australian mental health services,servicios de salud mental australianos,dịch vụ sức khỏe tâm thần Úc,australische psychiatrische Dienste,خدمات الصحة النفسية الأسترالية,オーストラリアのメンタルヘルスサービス,ऑस्ट्रेलियाई मानसिक स्वास्थ्य सेवाएं
australia’s healthcare system,El sistema de salud de Australia,hệ thống chăm sóc sức khỏe của Úc,Australiens Gesundheitssystem,نظام الرعاية الصحية في أستراليا,オーストラリアの医療制度,ऑस्ट्रेलिया की स्वास्थ्य सेवा प्रणाली
autism spectrum disorder,trastorno del espectro autista,rối loạn phổ tự kỷ,Autismus-Spektrum-Störung,اضطراب طيف التوحد,自閉症スペクトラム障害,ऑटिज्म स्पेक्ट्रम विकार
autoimmune conditions,enfermedades autoinmunes,các bệnh tự miễn dịch,Autoimmunerkrankungen,أمراض المناعة الذاتية,自己免疫疾患,ऑटोइम्यून स्थितियां
autoimmune diseases,enfermedades autoinmunes,bệnh tự miễn dịch,Autoimmunerkrankungen,أمراض المناعة الذاتية,自己免疫疾患,ऑटोइम्यून बीमारियों
avian influenza,gripe aviar,cúm gia cầm,Vogelgrippe,إنفلونزا الطيور,鳥インフルエンザ,एवियन इन्फ्लूएंजा
