en,es,vi,ar,de,hi,ja
emergency department,departamento de emergencias,khoa cấp cứu,قسم الطوارئ,Notaufnahme,इमरजेंसी डिपार्टमेंट,救急外来
acl reconstruction,reconstrucción del ligamento cruzado anterior,tái tạo dây chằng chéo trước,إعادة بناء الرباط الصليبي الأمامي,Kreuzbandrekonstruktion,एसीएल पुनर्निर्माण,ACL再建術
acne,acné,mụn trứng cá,حَبُّ الشّبَاب,Akne,मुंहासा,ニキビ
acne treatments,tratamientos para el acné,điều trị mụn trứng cá,علاجات حب الشباب,Aknebehandlungen,मुँहासे के उपचार,ニキビ治療
acoustic neuroma,neuroma acústico,u thần kinh thính giác,ورم العصب السمعي,Akustikusneurinom,ध्वनिक न्यूरोमा,聴神経腫瘍
acquired brain injury,lesión cerebral adquirida,chấn thương não mắc phải,إصابة دماغية مكتسبة,erworbene Hirnschädigung,मस्तिष्क की चोट,後天性脳損傷
acromegaly,acromegalia,bệnh to đầu chi,ضخامة الأطراف,Akromegalie,एक्रोमिगेली,先端巨大症
acts of kindness and compassion,actos de bondad y compasión,những hành động tử tế và lòng thương xót,أعمال اللطف والرحمة,Akte der Freundlichkeit und des Mitgefühls,दया और करुणा के कार्य,親切と思いやりの行為
acupuncture,acupuntura,châm cứu,الوخز بالإبر,Akupunktur,एक्यूपंक्चर,鍼
add,agregar,thêm vào,يضيف,hinzufügen,जोड़ना,追加
addiction,adicción,nghiện,مدمن,Sucht,लत,中毒
addiction withdrawal,Abstinencia de adicción,cai nghiện,أعراض انسحاب الإدمان,Entzugserscheinungen,व्यसन से मुक्ति,依存症からの離脱
addison's disease,enfermedad de Addison,bệnh Addison,مرض أديسون,Addison-Krankheit,एडिसन रोग,アジソン病
adeno-tonsillectomy,adenoidectomía y amigdalectomía,cắt amidan và nạo VA,استئصال اللوزتين واللحمية,Adenotonsillektomie,एडिनो-टॉन्सिल्लेक्टोमी,アデノ扁桃摘出術
adenoidectomy,adenoidectomía,cắt bỏ amidan,استئصال اللحمية,Adenoidektomie,एडेनोइडेक्टोमी,アデノイド切除術
adenoids,adenoides,amidan,اللحمية,Polypen,adenoids,アデノイド
adenomyosis,adenomiosis,bệnh lạc nội mạc tử cung,داء البطانة الرحمية,Adenomyose,ग्रंथिपेश्यर्बुदता,子宮腺筋症
adenoviruses,adenovirus,adenovirus,الفيروسات الغدية,Adenoviren,एडिनोवायरस,アデノウイルス
adhd,TDAH,ADHD,اضطراب فرط الحركة ونقص الانتباه,ADHS,एडीएचडी,ADHD
adhd medicines,medicamentos para el TDAH,thuốc điều trị ADHD,أدوية اضطراب فرط الحركة ونقص الانتباه,ADHS-Medikamente,एडीएचडी की दवाइयाँ,ADHD治療薬
adrenal fatigue,fatiga suprarrenal,mệt mỏi tuyến thượng thận,إرهاق الغدة الكظرية,Nebennierenschwäche,अधिवृक्क थकान,副腎疲労
adrenal glands,glándulas suprarrenales,tuyến thượng thận,الغدد الكظرية,Nebennieren,अधिवृक्क ग्रंथियां,副腎
adrenaline,adrenalina,adrenaline,الأدرينالين,Adrenalin,एड्रेनालाईन,アドレナリン
adrenaline autoinjector,autoinyector de adrenalina,ống tiêm tự động adrenaline,حاقن الأدرينالين التلقائي,Adrenalin-Autoinjektor,एड्रेनालाईन ऑटोइंजेक्टर,アドレナリン自己注射器
advance care planning,planificación anticipada de la atención médica,lập kế hoạch chăm sóc trước,التخطيط المسبق للرعاية,Vorausplanung der medizinischen Versorgung,अग्रिम देखभाल योजना,事前医療計画
adverse effects from medicines,efectos adversos de los medicamentos,tác dụng phụ của thuốc,الآثار الجانبية للأدوية,Nebenwirkungen von Medikamenten,दवाओं से होने वाले प्रतिकूल प्रभाव,医薬品の副作用
after-hours health services,servicios de salud fuera del horario habitual,dịch vụ y tế ngoài giờ,خدمات الرعاية الصحية خارج ساعات العمل,Gesundheitsdienste außerhalb der regulären Öffnungszeiten,कार्य समय के बाद की स्वास्थ्य सेवाएं,時間外医療サービス
age-related macular degeneration,degeneración macular relacionada con la edad,thoái hóa điểm vàng liên quan đến tuổi tác,التنكس البقعي المرتبط بالعمر,altersbedingte Makuladegeneration,उम्र से संबंधित मैकुलर डिजनरेशन,加齢黄斑変性
aged care services,servicios de atención a personas mayores,dịch vụ chăm sóc người cao tuổi,خدمات رعاية المسنين,Altenpflegedienste,वृद्धावस्था देखभाल सेवाएं,高齢者介護サービス
aggression in teenagers,agresión en adolescentes,sự hung hăng ở thanh thiếu niên,العدوانية لدى المراهقين,Aggression bei Teenagern,किशोरों में आक्रामकता,十代の若者の攻撃性
agnosia,agnosia,chứng mất nhận thức,عجز التعرف على الأشياء,Agnosie,संवेदनलोप,失認
agoraphobia,agorafobia,chứng sợ khoảng trống,رهاب الأماكن المفتوحة,Agoraphobie,भीड़ से डर लगना,広場恐怖症
aicd,aicd,aicd,أيد,AICD,एआईसीडी,aicd
aids and hiv infection,sida e infección por VIH,bệnh AIDS và nhiễm HIV,الإيدز وعدوى فيروس نقص المناعة البشرية,AIDS- und HIV-Infektion,एड्स और एचआईवी संक्रमण,エイズとHIV感染
albinism,albinismo,bệnh bạch tạng,المهق,Albinismus,रंगहीनता,アルビニズム
alcohol,alcohol,rượu bia,الكحول,Alkohol,शराब,アルコール
alcohol dependence,dependencia del alcohol,nghiện rượu,إدمان الكحول,Alkoholabhängigkeit,अल्कोहल निर्भरता,アルコール依存症
alcoholism,alcoholismo,nghiện rượu,إدمان الكحول,Alkoholismus,शराब,アルコール依存症
allergen immunotherapy,inmunoterapia con alérgenos,liệu pháp miễn dịch dị ứng,العلاج المناعي للحساسية,Allergen-Immuntherapie,एलर्जेन इम्यूनोथेरेपी,アレルゲン免疫療法
allergic reactions to cow's milk,reacciones alérgicas a la leche de vaca,phản ứng dị ứng với sữa bò,ردود الفعل التحسسية تجاه حليب البقر,allergische Reaktionen auf Kuhmilch,गाय के दूध से एलर्जी की प्रतिक्रिया,牛乳に対するアレルギー反応
allergic rhinitis,formal: rinitis alérgica | informal: fiebre del heno,"formal: viêm mũi dị ứng | informal: dị ứng thời tiết, sốt mùa hè","formal: التهاب الأنف التحسسي | informal: حمى القش, حمى الكلأ",formal: allergische Rhinitis | informal: Heuschnupfen,"formal: एलर्जिक राइनाइटिस | informal: हे फीवर, पराग ज्वर",formal: アレルギー性鼻炎 | informal: 花粉症
allergies,alergias,dị ứng,الحساسية,Allergien,एलर्जी,アレルギー
allergies and hypersensitivities,alergias e hipersensibilidades,dị ứng và quá mẫn,الحساسية المفرطة,Allergien und Überempfindlichkeiten,एलर्जी और अतिसंवेदनशीलता,アレルギーおよび過敏症
allergies to seafood,alergias a los mariscos,dị ứng với hải sản,الحساسية تجاه المأكولات البحرية,Allergien gegen Meeresfrüchte,समुद्री भोजन से एलर्जी,魚介類アレルギー
allergy,alergia,dị ứng,حساسية,Allergie,एलर्जी,アレルギー
allergy testing,pruebas de alergia,xét nghiệm dị ứng,اختبار الحساسية,Allergietest,एलर्जी परीक्षण,アレルギー検査
allied health,salud afín,y tế liên kết,المهن الصحية المساعدة,verwandte Gesundheitsberufe,संबन्धित स्वस्थ्य,医療関連職
alopecia,"formal: alopecia | informal: caída del cabello, calvicie","formal: rụng tóc | informal: hói đầu, rụng tóc","formal: ثعلبة | informal: تساقط الشعر, صلع, الصلع","formal: Alopezie | informal: Haarausfall, Glatzenbildung, Kahlheit","formal: खालित्य | informal: बालों का झड़ना, गंजापन, दरिद्रता","formal: 脱毛症 | informal: 抜け毛, ハゲ, 禿げ"
alpha-1 antitrypsin deficiency,deficiencia de alfa-1 antitripsina,thiếu hụt alpha-1 antitrypsin,نقص ألفا-1 أنتيتريبسين,Alpha-1-Antitrypsinmangel,अल्फा-1 एंटीट्रिप्सिन की कमी,α1アンチトリプシン欠乏症
altitude sickness,mal de altura,bệnh độ cao,داء المرتفعات,Höhenkrankheit,ऊंचाई से बीमारी,高山病
alzheimer's disease,enfermedad de Alzheimer,bệnh Alzheimer,مرض الزهايمر,Alzheimer-Krankheit,अल्जाइमर रोग,アルツハイマー病
ambulances,ambulancias,xe cứu thương,سيارات الإسعاف,Krankenwagen,एंबुलेंस,救急車
amenorrhoea,amenorrea,vô kinh,انقطاع الطمث,Amenorrhoe,अमेनोरिया,無月経
amnesia,amnesia,mất trí nhớ,فقدان الذاكرة,Amnesie,भूलने की बीमारी,健忘症
amphetamines,anfetaminas,amphetamines,الأمفيتامينات,Amphetamine,amphetamines,アンフェタミン
amputation,amputación,cắt cụt,بتر,Amputation,विच्छेदन,切断
amyloidosis,amilosis,bệnh amyloidosis,داء النشواني,Amyloidose,एमिलॉयडोसिस,アミロイドーシス
amyotrophic lateral sclerosis,esclerosis lateral amiotrófica,bệnh xơ cứng teo cơ một bên,التصلب الجانبي الضموري,amyotrophe Lateralsklerose,पेशीशोषी पार्श्व काठिन्य,筋萎縮性側索硬化症
anabolic steroids,esteroides anabólicos,steroid đồng hóa,الستيرويدات الابتنائية,Anabole Steroide,एनाबॉलिक स्टेरॉयड,アナボリックステロイド
anaemia,anemia,thiếu máu,فقر الدم,Anämie,खून की कमी,貧血
anaemia medicine,medicamentos para la anemia,thuốc trị thiếu máu,دواء لعلاج فقر الدم,Anämie-Medikament,एनीमिया की दवा,貧血薬
anaesthetics,anestésicos,thuốc gây mê,التخدير,Anästhetika,बेहोशी की दवा,麻酔薬
anal cancer,cáncer anal,ung thư hậu môn,سرطان الشرج,Analkrebs,गुदा कैंसर,肛門がん
anal care,cuidado anal,chăm sóc hậu môn,العناية الشرجية,Analpflege,गुदा देखभाल,肛門ケア
anal fissure,fisura anal,nứt hậu môn,الشق الشرجي,Analfissur,गुदा विदर,肛門裂傷
anal injury,lesión anal,chấn thương hậu môn,إصابة شرجية,Analverletzung,गुदा में चोट,肛門損傷
anal pain,dolor anal,đau hậu môn,ألم شرجي,Analschmerzen,गुदा में दर्द होना,肛門の痛み
anaphylaxis,anafilaxia,sốc phản vệ,الحساسية المفرطة,Anaphylaxie,तीव्रग्राहिता,アナフィラキシー
anatomy,anatomía,giải phẫu học,تشريح,Anatomie,शरीर रचना,解剖学
anemia,anemia,thiếu máu,فقر الدم,Anämie,रक्ताल्पता,貧血
aneurysms,aneurismas,phình động mạch,تمدد الأوعية الدموية,Aneurysmen,विस्फार,動脈瘤
angelman syndrome,síndrome de Angelman,hội chứng Angelman,متلازمة أنجلمان,Angelman-Syndrom,एंजेलमैन सिंड्रोम,アンジェルマン症候群
anger management,control de la ira,kiểm soát cơn giận,إدارة الغضب,Wutbewältigung,क्रोध प्रबंधन,怒りのコントロール
angina,angina de pecho,đau thắt ngực,ذبحة,Angina,एनजाइना,狭心症
angiogram,angiografía,chụp mạch máu,تصوير الأوعية الدموية,Angiogramm,एंजियोग्राम,血管造影
angioplasty,angioplastia,nong mạch,رأب الأوعية الدموية,Angioplastie,एंजियोप्लास्टी,血管形成術
angiotensin converting enzyme inhibitors,inhibidores de la enzima convertidora de angiotensina,thuốc ức chế men chuyển angiotensin,مثبطات الإنزيم المحول للأنجيوتنسين,Angiotensin-Converting-Enzym-Hemmer,एंजियोटेंसिन परिवर्तित एंजाइम अवरोधक,アンジオテンシン変換酵素阻害薬
angiotensin receptor blockers,bloqueadores de los receptores de angiotensina,thuốc chẹn thụ thể angiotensin,حاصرات مستقبلات الأنجيوتنسين,Angiotensin-Rezeptorblocker,एंजियोटेंसिन रिसेप्टर ब्लॉकर्स,アンジオテンシン受容体拮抗薬
animal bites,mordeduras de animales,vết cắn của động vật,عضات الحيوانات,Tierbisse,जानवरों के काटने,動物の咬傷
ankle arthrodesis,artrodesis de tobillo,phẫu thuật cố định khớp mắt cá chân,تثبيت مفصل الكاحل,Sprunggelenksarthrodese,टखने के आर्थ्रोडेसिस,足関節固定術
ankle fracture surgery,cirugía de fractura de tobillo,phẫu thuật gãy xương mắt cá chân,جراحة كسر الكاحل,Knöchelfraktur-Operation,टखने के फ्रैक्चर की सर्जरी,足首骨折手術
ankle pain,dolor de tobillo,đau mắt cá chân,ألم في الكاحل,Knöchelschmerzen,टखने में दर्द,足首の痛み
ankle sprain,esguince de tobillo,bong gân mắt cá chân,التواء الكاحل,Knöchelverstauchung,टखने की मोच,足首の捻挫
ankylosing spondylitis,espondiloartritis anquilosante,viêm cột sống dính khớp,التهاب الفقرات التصلبي,Spondylitis ankylosans,रीढ़ के जोड़ों में गतिविधि-रोधक सूजन,強直性脊椎炎
anorexia nervosa,anorexia nerviosa,chứng chán ăn tâm thần,فقدان الشهية العصبي,Anorexia nervosa,एनोरेक्सिया नर्वोसा,神経性食欲不振症
anosmia,anosmia,mất khứu giác,فقدان حاسة الشم,Anosmie,घ्राणशक्ति का नाश,嗅覚脱失
ant stings,picaduras de hormigas,vết đốt của kiến,لسعات النمل,Ameisenstiche,चींटी के डंक,アリの毒針
ant stings and bites,Picaduras y mordeduras de hormigas,vết đốt và cắn của kiến,لسعات ولدغات النمل,Ameisenstiche und -bisse,चींटियों के डंक और काटने,アリの刺し傷と噛み傷
antenatal tests,pruebas prenatales,xét nghiệm trước sinh,فحوصات ما قبل الولادة,pränatale Tests,प्रसवपूर्व परीक्षण,出生前検査
anterior repair,reparación anterior,sửa chữa phía trước,إصلاح أمامي,vordere Reparatur,अग्रवर्ती मरम्मत,前方修復
anthrax,ántrax,bệnh than,الجمرة الخبيثة,Milzbrand,बिसहरिया,炭疽菌
anti-inflammatory medicines,medicamentos antiinflamatorios,thuốc chống viêm,الأدوية المضادة للالتهابات,entzündungshemmende Medikamente,सूजनरोधी दवाएँ,抗炎症薬
antibiotics,antibióticos,thuốc kháng sinh,المضادات الحيوية,Antibiotika,एंटीबायोटिक दवाओं,抗生物質
anticipatory grief,duelo anticipatorio,nỗi đau buồn dự đoán,الحزن الاستباقي,vorweggenommene Trauer,प्रत्याशित शोक,予期悲嘆
antidepressants,antidepresivos,thuốc chống trầm cảm,مضادات الاكتئاب,Antidepressiva,एंटीडिप्रेसन्ट,抗うつ剤
antifungal medicines,medicamentos antimicóticos,thuốc chống nấm,الأدوية المضادة للفطريات,Antimykotika,एंटीफंगल दवाएं,抗真菌薬
antihistamines,antihistamínicos,thuốc kháng histamine,مضادات الهيستامين,Antihistaminika,एंटिहिस्टामाइन्स,抗ヒスタミン剤
antioxidants,antioxidantes,chất chống oxy hóa,مضادات الأكسدة,Antioxidantien,एंटीऑक्सीडेंट,抗酸化物質
antiphospholipid syndrome,síndrome antifosfolípido,hội chứng kháng phospholipid,متلازمة الأجسام المضادة للفوسفوليبيد,Antiphospholipid-Syndrom,एंटीफॉस्फोलिपिड सिंड्रोम,抗リン脂質症候群
antipsychotic medicines,medicamentos antipsicóticos,thuốc chống loạn thần,الأدوية المضادة للذهان,Antipsychotika,मनोविरोधक दवाएँ,抗精神病薬
antisocial personality disorder,trastorno de personalidad antisocial,rối loạn nhân cách chống đối xã hội,اضطراب الشخصية المعادية للمجتمع,antisoziale Persönlichkeitsstörung,असामाजिक व्यक्तित्व विकार,反社会性パーソナリティ障害
antivirals for flu and covid-19,Antivirales para la gripe y la COVID-19,thuốc kháng virus cho bệnh cúm và COVID-19,مضادات الفيروسات لعلاج الإنفلونزا وكوفيد-19,Virostatika gegen Grippe und Covid-19,फ्लू और कोविड-19 के लिए एंटीवायरल दवाएं,インフルエンザとCOVID-19に対する抗ウイルス薬
anxiety,ansiedad,sự lo lắng,قلق,Angst,चिंता,不安
anxiety conditions,trastornos de ansiedad,tình trạng lo âu,حالات القلق,Angstzustände,चिंता की स्थितियाँ,不安障害
anxiety in children,ansiedad en los niños,lo lắng ở trẻ em,القلق عند الأطفال,Angstzustände bei Kindern,बच्चों में चिंता,子供の不安
anxiety in teenagers,ansiedad en adolescentes,lo lắng ở thanh thiếu niên,القلق لدى المراهقين,Angstzustände bei Teenagern,किशोरों में चिंता,十代の不安
anxiety medication,medicamentos para la ansiedad,thuốc chống lo âu,أدوية القلق,Medikamente gegen Angstzustände,चिंता की दवा,不安薬
aortic coarctation,coartación aórtica,hẹp động mạch chủ,تضيق الأبهر,Aortenisthmusstenose,महाधमनी संकुचन,大動脈縮窄症
aortic dissection,disección aórtica,bóc tách động mạch chủ,تسلخ الأبهر,Aortendissektion,महाधमनी विच्छेदन,大動脈解離
aortic stenosis,estenosis aórtica,hẹp động mạch chủ,تضيق الأبهر,Aortenstenose,महाधमनी स्टेनोसिस,大動脈弁狭窄症
aortic valve replacement,reemplazo de la válvula aórtica,thay van động mạch chủ,استبدال الصمام الأبهري,Aortenklappenersatz,महाधमनी वाल्व प्रतिस्थापन,大動脈弁置換術
apert syndrome,síndrome de Apert,hội chứng apert,متلازمة آبرت,apert-Syndrom,एपर्ट सिंड्रोम,アペール症候群
aphasia,afasia,chứng mất ngôn ngữ,حبسة,Aphasie,बोली बंद होना,失語症
apnoea,apnea,ngưng thở,انقطاع النفس,Apnoe,एपनिया,無呼吸
appendectomy,apendectomía,phẫu thuật cắt ruột thừa,استئصال الزائدة الدودية,Blinddarmoperation,एपेंडेक्टोमी,虫垂切除術
appendicitis,apendicitis,viêm ruột thừa,التهاب الزائدة الدودية,Appendizitis,पथरी,虫垂炎
apraxia of speech,apraxia del habla,chứng khó nói,خلل في النطق,Sprechapraxie,वाक् अप्रेक्सिया,発話失行
arrhythmia,arritmia,rối loạn nhịp tim,عدم انتظام ضربات القلب,Arrhythmie,अतालता,不整脈
arsenic,arsénico,asen,الزرنيخ,Arsen,हरताल,砒素
arthritis,artritis,viêm khớp,التهاب المفاصل,Arthritis,वात रोग,関節炎
arthritis in children,artritis en niños,viêm khớp ở trẻ em,التهاب المفاصل عند الأطفال,Arthritis bei Kindern,बच्चों में गठिया,小児の関節炎
arthroscopic release of frozen shoulder,Liberación artroscópica de hombro congelado,Phẫu thuật nội soi giải phóng hội chứng vai đông cứng,تحرير الكتف المتجمد بالمنظار,Arthroskopische Lösung einer Schultersteife,फ्रोजन शोल्डर का आर्थ्रोस्कोपिक रिलीज,関節鏡下による五十肩の解放
arthroscopy,artroscopia,nội soi khớp,تنظير المفصل,Arthroskopie,आर्थ्रोस्कोपी,関節鏡検査
arthroscopy of the ankle,artroscopia del tobillo,nội soi khớp mắt cá chân,تنظير مفصل الكاحل,Arthroskopie des Sprunggelenks,टखने की आर्थ्रोस्कोपी,足首の関節鏡検査
arthroscopy of the elbow,artroscopia del codo,nội soi khớp khuỷu tay,تنظير مفصل الكوع,Arthroskopie des Ellbogens,कोहनी की आर्थ्रोस्कोपी,肘関節鏡検査
arthroscopy of the knee,artroscopia de rodilla,nội soi khớp gối,تنظير مفصل الركبة,Kniegelenksarthroskopie,घुटने की आर्थ्रोस्कोपी,膝関節鏡検査
arthroscopy of the shoulder,artroscopia del hombro,nội soi khớp vai,تنظير مفصل الكتف,Arthroskopie der Schulter,कंधे की आर्थ्रोस्कोपी,肩関節鏡検査
arthroscopy of the wrist,artroscopia de la muñeca,nội soi khớp cổ tay,تنظير مفصل الرسغ,Arthroskopie des Handgelenks,कलाई की आर्थ्रोस्कोपी,手首の関節鏡検査
asbestosis,asbestosis,bệnh bụi amiăng,داء الأسبستوس,Asbestose,एस्बेस्टोसिस,アスベスト症
assistance dog,perro de asistencia,chó hỗ trợ,كلب المساعدة,Assistenzhund,सहायता कुत्ता,介助犬
assisted vaginal delivery,parto vaginal asistido,sinh thường có hỗ trợ,الولادة المهبلية بمساعدة طبية,assistierte vaginale Entbindung,सहायता प्राप्त योनि प्रसव,補助付き経腟分娩
asthma,asma,hen suyễn,الربو,Asthma,अस्थमा,喘息
asthma and pregnancy,asma y embarazo,hen suyễn và mang thai,الربو والحمل,Asthma und Schwangerschaft,अस्थमा और गर्भावस्था,喘息と妊娠
asthma attack management,manejo de los ataques de asma,quản lý cơn hen suyễn,إدارة نوبات الربو,Asthmaanfall-Management,अस्थमा के दौरे का प्रबंधन,喘息発作の管理
asthma in children,asma en niños,bệnh hen suyễn ở trẻ em,الربو عند الأطفال,Asthma bei Kindern,बच्चों में अस्थमा,小児喘息
asthma in children under 6,asma en niños menores de 6 años,bệnh hen suyễn ở trẻ em dưới 6 tuổi,الربو عند الأطفال دون سن السادسة,Asthma bei Kindern unter 6 Jahren,6 वर्ष से कम उम्र के बच्चों में अस्थमा,6歳未満の小児における喘息
asthma medication,medicamentos para el asma,thuốc hen suyễn,أدوية الربو,Asthmamedikamente,अस्थमा की दवा,喘息の薬
astigmatism,astigmatismo,loạn thị,الاستجماتيزم,Astigmatismus,दृष्टिवैषम्य,乱視
atherosclerosis,aterosclerosis,xơ vữa động mạch,تصلب الشرايين,Atherosklerose,atherosclerosis,動脈硬化
athletes foot,pie de atleta,bệnh nấm da chân,قدم الرياضي,Fußpilz,एथलीट फुट,水虫
atrial fibrillation,fibrilación auricular,rung tâm nhĩ,رجفان أذيني,Vorhofflimmern,दिल की अनियमित धड़कन,心房細動
attention deficit disorder,trastorno por déficit de atención,rối loạn thiếu tập trung,اضطراب نقص الانتباه,Aufmerksamkeitsdefizitstörung,ध्यान आभाव विकार,注意欠陥障害
australian mental health services,servicios de salud mental australianos,dịch vụ sức khỏe tâm thần Úc,خدمات الصحة النفسية الأسترالية,australische psychiatrische Dienste,ऑस्ट्रेलियाई मानसिक स्वास्थ्य सेवाएं,オーストラリアのメンタルヘルスサービス
australia’s healthcare system,El sistema de salud de Australia,hệ thống chăm sóc sức khỏe của Úc,نظام الرعاية الصحية في أستراليا,Australiens Gesundheitssystem,ऑस्ट्रेलिया की स्वास्थ्य सेवा प्रणाली,オーストラリアの医療制度
